id,upc,maquina_id,Material,multiplicador,multiplicador_socio,texto,descargada,cancelado,created_at,updated_at,deleted_at,imagen,active
ID8434715180221,8430000000000,c7822fc2-276d-424b-8e77-a0f85e1bb1be,Brick,12.5,25,LECHE BIO S/LACTOSA SEMI ASANA LITRO,0,0,2021-10-15,2021-10-15,2021-10-15,null,1
ID8470000802454,8470000000000,c7822fc2-276d-424b-8e77-a0f85e1bb1be,Brick,12.5,25,LECHE BIO S/LACTOSA SEMI ASANA LITRO,0,0,2021-10-15,2021-10-15,2021-10-15,null,1
ID8480024755001,8480000000000,c7822fc2-276d-424b-8e77-a0f85e1bb1be,Botella,12.5,25,ZUMO ALTEZA NARANJA ECOLOGICO BIO LTR,0,0,2021-10-15,2021-10-15,2021-10-15,null,1
ID8480024755018,8480000000000,c7822fc2-276d-424b-8e77-a0f85e1bb1be,Botella,12.5,25,ZUMO ALTEZA PIÑA ECOLOGICO BIO LTR,0,0,2021-10-15,2021-10-15,2021-10-15,null,1
ID8437000536314,8440000000000,c7822fc2-276d-424b-8e77-a0f85e1bb1be,Botella,12.5,25,ZUMO ARANDANOS ECOL.LAYERAN 500,0,0,2021-10-15,2021-10-15,2021-10-15,null,1
ID8480024833648,8480000000000,c7822fc2-276d-424b-8e77-a0f85e1bb1be,Brick,12.5,25,BEBIDA AVENA ECOLOGICA ALTEZA LTR,0,0,2021-10-15,2021-10-15,2021-10-15,null,1
ID8410509000340,8410000000000,c7822fc2-276d-424b-8e77-a0f85e1bb1be,Brick,12.5,25,BEBIDA AVENA ECOLOGICA ALTEZA LTR,0,0,2021-10-15,2021-10-15,2021-10-15,null,1
ID8411700603774,8410000000000,c7822fc2-276d-424b-8e77-a0f85e1bb1be,Brick,12.5,25,LECHE ECOLOGICA ENTERA PULEVA LTR,0,0,2021-10-15,2021-10-15,2021-10-15,null,1
ID8411700603781,8410000000000,c7822fc2-276d-424b-8e77-a0f85e1bb1be,Brick,12.5,25,LECHE ECO SEMI LTR.,0,0,2021-10-15,2021-10-15,2021-10-15,null,1
ID8480024833815,8480000000000,c7822fc2-276d-424b-8e77-a0f85e1bb1be,Brick,12.5,25,LECHE ECO SEMI LTR.,0,0,2021-10-15,2021-10-15,2021-10-15,null,1
ID8411700603798,8410000000000,c7822fc2-276d-424b-8e77-a0f85e1bb1be,Brick,12.5,25,LECHE ECOLOGICA DESNATADA PULEVA LTR,0,0,2021-10-15,2021-10-15,2021-10-15,null,1
ID8411700011302,8410000000000,c7822fc2-276d-424b-8e77-a0f85e1bb1be,Brick,12.5,25,BEBIDA LACTEA PULEVA OMEGA-3 C/NUEZ LTR,0,0,2021-10-15,2021-10-15,2021-10-15,null,1
ID8410981017232,8410000000000,c7822fc2-276d-424b-8e77-a0f85e1bb1be,Brick,12.5,25,LECHE KAIKU SIN LACTOSA DESNATADA LTR,0,0,2021-10-15,2021-10-15,2021-10-15,null,1
ID8410298017239,8410000000000,c7822fc2-276d-424b-8e77-a0f85e1bb1be,Brick,12.5,25,LECHE KAIKU SIN LACTOSA DESNATADA LTR,0,0,2021-10-15,2021-10-15,2021-10-15,null,1
ID8410981010103,8410000000000,c7822fc2-276d-424b-8e77-a0f85e1bb1be,Brick,12.5,25,LECHE KAIKU SIN LACTOSA SEMI  LTR,0,0,2021-10-15,2021-10-15,2021-10-15,null,1
ID8411700010015,8410000000000,c7822fc2-276d-424b-8e77-a0f85e1bb1be,Brick,12.5,25,PREPARADO LACTEO INFANTIL PULEVA MAX L,0,0,2021-10-15,2021-10-15,2021-10-15,null,1
ID841170081011,841000000000,c7822fc2-276d-424b-8e77-a0f85e1bb1be,Brick,12.5,25,PREPARADO LACTEO INFANTIL PULEVA MAX L,0,0,2021-10-15,2021-10-15,2021-10-15,null,1
ID8411700810011,8410000000000,c7822fc2-276d-424b-8e77-a0f85e1bb1be,Brick,12.5,25,PREPARADO LACTEO INFANTIL PULEVA MAX L,0,0,2021-10-15,2021-10-15,2021-10-15,null,1
ID8410297115219,8410000000000,c7822fc2-276d-424b-8e77-a0f85e1bb1be,Brick,12.5,25,LECHE ASTURIANA NATURCOL LITRO,0,0,2021-10-15,2021-10-15,2021-10-15,null,1
ID8410297115356,8410000000000,c7822fc2-276d-424b-8e77-a0f85e1bb1be,Brick,12.5,25,LECHE SIN LACTOSA SEMI ASTURIANA l,0,0,2021-10-15,2021-10-15,2021-10-15,null,1
ID8410297115318,8410000000000,c7822fc2-276d-424b-8e77-a0f85e1bb1be,Brick,12.5,25,LECHE SIN LACTOSA SEMI ASTURIANA l,0,0,2021-10-15,2021-10-15,2021-10-15,null,1
ID8410297111105,8410000000000,c7822fc2-276d-424b-8e77-a0f85e1bb1be,Brick,12.5,25,LECHE SIN LACTOSA SEMI ASTURIANA 1/500l,0,0,2021-10-15,2021-10-15,2021-10-15,null,1
ID8410297915444,8410000000000,c7822fc2-276d-424b-8e77-a0f85e1bb1be,Brick,12.5,25,LECHE SIN LACTOSA ENTERA ASTURIANA l,0,0,2021-10-15,2021-10-15,2021-10-15,null,1
ID8410297115448,8410000000000,c7822fc2-276d-424b-8e77-a0f85e1bb1be,Brick,12.5,25,LECHE SIN LACTOSA ENTERA ASTURIANA l,0,0,2021-10-15,2021-10-15,2021-10-15,null,1
ID8410128767105,8410000000000,c7822fc2-276d-424b-8e77-a0f85e1bb1be,Brick,12.5,25,BEBIDA FLORA OMEGA-3 DESNATADA ltr,0,0,2021-10-15,2021-10-15,2021-10-15,null,1
ID8410297112386,8410000000000,c7822fc2-276d-424b-8e77-a0f85e1bb1be,Brick,12.5,25,LECHE ASTURIANA FIBRA LTR,0,0,2021-10-15,2021-10-15,2021-10-15,null,1
ID8410297912382,8410000000000,c7822fc2-276d-424b-8e77-a0f85e1bb1be,Brick,12.5,25,LECHE ASTURIANA FIBRA LTR,0,0,2021-10-15,2021-10-15,2021-10-15,null,1
ID8410297111051,8410000000000,c7822fc2-276d-424b-8e77-a0f85e1bb1be,Brick,12.5,25,LECHE CLAS DESNATA CALCIO LITRO,0,0,2021-10-15,2021-10-15,2021-10-15,null,1
ID8410297112379,8410000000000,c7822fc2-276d-424b-8e77-a0f85e1bb1be,Brick,12.5,25,LECHE CLAS DESNATA CALCIO LITRO,0,0,2021-10-15,2021-10-15,2021-10-15,null,1
ID8410297110023,8410000000000,c7822fc2-276d-424b-8e77-a0f85e1bb1be,Brick,12.5,25,LECHE CLAS DESNATA CALCIO LITRO,0,0,2021-10-15,2021-10-15,2021-10-15,null,1
ID8410297912375,8410000000000,c7822fc2-276d-424b-8e77-a0f85e1bb1be,Brick,12.5,25,LECHE CLAS DESNATA CALCIO LITRO,0,0,2021-10-15,2021-10-15,2021-10-15,null,1
ID8410297110016,8410000000000,c7822fc2-276d-424b-8e77-a0f85e1bb1be,Brick,12.5,25,LECHE CLAS SEMI CALCIO LITRO,0,0,2021-10-15,2021-10-15,2021-10-15,null,1
ID8410297912368,8410000000000,c7822fc2-276d-424b-8e77-a0f85e1bb1be,Brick,12.5,25,LECHE CLAS SEMI CALCIO LITRO,0,0,2021-10-15,2021-10-15,2021-10-15,null,1
ID8410297112362,8410000000000,c7822fc2-276d-424b-8e77-a0f85e1bb1be,Brick,12.5,25,LECHE CLAS SEMI CALCIO LITRO,0,0,2021-10-15,2021-10-15,2021-10-15,null,1
ID8410297111044,8410000000000,c7822fc2-276d-424b-8e77-a0f85e1bb1be,Brick,12.5,25,LECHE CLAS SEMI CALCIO LITRO,0,0,2021-10-15,2021-10-15,2021-10-15,null,1
ID8411700011111,8410000000000,c7822fc2-276d-424b-8e77-a0f85e1bb1be,Brick,12.5,25,BEBIDA LACTEA  PULEVA OMEGA-3  LITRO,0,0,2021-10-15,2021-10-15,2021-10-15,null,1
ID8411700911145,8410000000000,c7822fc2-276d-424b-8e77-a0f85e1bb1be,Brick,12.5,25,BEBIDA LACTEA  PULEVA OMEGA-3  LITRO,0,0,2021-10-15,2021-10-15,2021-10-15,null,1
ID8411700811117,8410000000000,c7822fc2-276d-424b-8e77-a0f85e1bb1be,Brick,12.5,25,BEBIDA LACTEA  PULEVA OMEGA-3  LITRO,0,0,2021-10-15,2021-10-15,2021-10-15,null,1
ID8480024833297,8480000000000,c7822fc2-276d-424b-8e77-a0f85e1bb1be,Brick,12.5,25,BEBIDA LACTEA OMEGA3 ALTEZA LTR,0,0,2021-10-15,2021-10-15,2021-10-15,null,1
ID8410297914836,8410000000000,c7822fc2-276d-424b-8e77-a0f85e1bb1be,Botella,12.5,25,LECHE SUPREMA 0% CLAS LTR,0,0,2021-10-15,2021-10-15,2021-10-15,null,1
ID8410297114830,8410000000000,c7822fc2-276d-424b-8e77-a0f85e1bb1be,Botella,12.5,25,LECHE SUPREMA 0% CLAS LTR,0,0,2021-10-15,2021-10-15,2021-10-15,null,1
ID8413800001009,8410000000000,c7822fc2-276d-424b-8e77-a0f85e1bb1be,Brick,12.5,25,BEBIDA FLORA ENTERA LITRO,0,0,2021-10-15,2021-10-15,2021-10-15,null,1
ID8410128150020,8410000000000,c7822fc2-276d-424b-8e77-a0f85e1bb1be,Brick,12.5,25,BEBIDA FLORA ENTERA LITRO,0,0,2021-10-15,2021-10-15,2021-10-15,null,1
ID8413800101006,8410000000000,c7822fc2-276d-424b-8e77-a0f85e1bb1be,Brick,12.5,25,BEBIDA FLORA ENTERA LITRO,0,0,2021-10-15,2021-10-15,2021-10-15,null,1
ID8413800001108,8410000000000,c7822fc2-276d-424b-8e77-a0f85e1bb1be,Brick,12.5,25,BEBIDA FLORA SEMI LITRO,0,0,2021-10-15,2021-10-15,2021-10-15,null,1
ID8413800101105,8410000000000,c7822fc2-276d-424b-8e77-a0f85e1bb1be,Brick,12.5,25,BEBIDA FLORA SEMI LITRO,0,0,2021-10-15,2021-10-15,2021-10-15,null,1
ID8410128150044,8410000000000,c7822fc2-276d-424b-8e77-a0f85e1bb1be,Brick,12.5,25,BEBIDA FLORA SEMI LITRO,0,0,2021-10-15,2021-10-15,2021-10-15,null,1
ID8410297115349,8410000000000,c7822fc2-276d-424b-8e77-a0f85e1bb1be,Brick,12.5,25,LECHE S/LACTOSA 0%MG ASTURIANA LTR,0,0,2021-10-15,2021-10-15,2021-10-15,null,1
ID8410297115363,8410000000000,c7822fc2-276d-424b-8e77-a0f85e1bb1be,Brick,12.5,25,LECHE S/LACTOSA 0%MG ASTURIANA LTR,0,0,2021-10-15,2021-10-15,2021-10-15,null,1
ID8411700003987,8410000000000,c7822fc2-276d-424b-8e77-a0f85e1bb1be,Brick,12.5,25,LECHE CABRA PULEVA BOTELLA LITRO,0,0,2021-10-15,2021-10-15,2021-10-15,null,1
ID8480024831118,8480000000000,c7822fc2-276d-424b-8e77-a0f85e1bb1be,Brick,12.5,25,LECHE ALTEZA ENTERA LITRO,0,0,2021-10-15,2021-10-15,2021-10-15,null,1
ID8480024832009,8480000000000,c7822fc2-276d-424b-8e77-a0f85e1bb1be,Brick,12.5,25,LECHE ALTEZA ENTERA LITRO,0,0,2021-10-15,2021-10-15,2021-10-15,null,1
ID8480024831088,8480000000000,c7822fc2-276d-424b-8e77-a0f85e1bb1be,Brick,12.5,25,LECHE ALTEZA ENTERA LITRO,0,0,2021-10-15,2021-10-15,2021-10-15,null,1
ID8480024833204,8480000000000,c7822fc2-276d-424b-8e77-a0f85e1bb1be,Brick,12.5,25,LECHE ALTEZA ENTERA LITRO,0,0,2021-10-15,2021-10-15,2021-10-15,null,1
ID8480024833341,8480000000000,c7822fc2-276d-424b-8e77-a0f85e1bb1be,Brick,12.5,25,LECHE ALTEZA ENTERA LITRO,0,0,2021-10-15,2021-10-15,2021-10-15,null,1
ID8480024832207,8480000000000,c7822fc2-276d-424b-8e77-a0f85e1bb1be,Brick,12.5,25,LECHE ALTEZA ENTERA LITRO,0,0,2021-10-15,2021-10-15,2021-10-15,null,1
ID8480024834300,8480000000000,c7822fc2-276d-424b-8e77-a0f85e1bb1be,Brick,12.5,25,LECHE ALTEZA ENTERA LITRO,0,0,2021-10-15,2021-10-15,2021-10-15,null,1
ID8480024832030,8480000000000,c7822fc2-276d-424b-8e77-a0f85e1bb1be,Brick,12.5,25,LECHE ALTEZA ENTERA LITRO,0,0,2021-10-15,2021-10-15,2021-10-15,null,1
ID8480024834379,8480000000000,c7822fc2-276d-424b-8e77-a0f85e1bb1be,Brick,12.5,25,LECHE ALTEZA ENTERA LITRO,0,0,2021-10-15,2021-10-15,2021-10-15,null,1
ID8480024832368,8480000000000,c7822fc2-276d-424b-8e77-a0f85e1bb1be,Brick,12.5,25,LECHE ALTEZA ENTERA LITRO,0,0,2021-10-15,2021-10-15,2021-10-15,null,1
ID8480024832016,8480000000000,c7822fc2-276d-424b-8e77-a0f85e1bb1be,Brick,12.5,25,LECHE ALTEZA SEMI LITRO,0,0,2021-10-15,2021-10-15,2021-10-15,null,1
ID8480024831095,8480000000000,c7822fc2-276d-424b-8e77-a0f85e1bb1be,Brick,12.5,25,LECHE ALTEZA SEMI LITRO,0,0,2021-10-15,2021-10-15,2021-10-15,null,1
ID8480024833358,8480000000000,c7822fc2-276d-424b-8e77-a0f85e1bb1be,Brick,12.5,25,LECHE ALTEZA SEMI LITRO,0,0,2021-10-15,2021-10-15,2021-10-15,null,1
ID8480024834348,8480000000000,c7822fc2-276d-424b-8e77-a0f85e1bb1be,Brick,12.5,25,LECHE ALTEZA SEMI LITRO,0,0,2021-10-15,2021-10-15,2021-10-15,null,1
ID8480024832375,8480000000000,c7822fc2-276d-424b-8e77-a0f85e1bb1be,Brick,12.5,25,LECHE ALTEZA SEMI LITRO,0,0,2021-10-15,2021-10-15,2021-10-15,null,1
ID8480024833211,8480000000000,c7822fc2-276d-424b-8e77-a0f85e1bb1be,Brick,12.5,25,LECHE ALTEZA SEMI LITRO,0,0,2021-10-15,2021-10-15,2021-10-15,null,1
ID8480024832047,8480000000000,c7822fc2-276d-424b-8e77-a0f85e1bb1be,Brick,12.5,25,LECHE ALTEZA SEMI LITRO,0,0,2021-10-15,2021-10-15,2021-10-15,null,1
ID8480024832214,8480000000000,c7822fc2-276d-424b-8e77-a0f85e1bb1be,Brick,12.5,25,LECHE ALTEZA SEMI LITRO,0,0,2021-10-15,2021-10-15,2021-10-15,null,1
ID8480024834386,8480000000000,c7822fc2-276d-424b-8e77-a0f85e1bb1be,Brick,12.5,25,LECHE ALTEZA SEMI LITRO,0,0,2021-10-15,2021-10-15,2021-10-15,null,1
ID8480024831125,8480000000000,c7822fc2-276d-424b-8e77-a0f85e1bb1be,Brick,12.5,25,LECHE ALTEZA SEMI LITRO,0,0,2021-10-15,2021-10-15,2021-10-15,null,1
ID8480024832382,8480000000000,c7822fc2-276d-424b-8e77-a0f85e1bb1be,Brick,12.5,25,LECHE ALTEZA DESNATA LITRO,0,0,2021-10-15,2021-10-15,2021-10-15,null,1
ID8480024832054,8480000000000,c7822fc2-276d-424b-8e77-a0f85e1bb1be,Brick,12.5,25,LECHE ALTEZA DESNATA LITRO,0,0,2021-10-15,2021-10-15,2021-10-15,null,1
ID8480024832221,8480000000000,c7822fc2-276d-424b-8e77-a0f85e1bb1be,Brick,12.5,25,LECHE ALTEZA DESNATA LITRO,0,0,2021-10-15,2021-10-15,2021-10-15,null,1
ID8480024833228,8480000000000,c7822fc2-276d-424b-8e77-a0f85e1bb1be,Brick,12.5,25,LECHE ALTEZA DESNATA LITRO,0,0,2021-10-15,2021-10-15,2021-10-15,null,1
ID8480024832023,8480000000000,c7822fc2-276d-424b-8e77-a0f85e1bb1be,Brick,12.5,25,LECHE ALTEZA DESNATA LITRO,0,0,2021-10-15,2021-10-15,2021-10-15,null,1
ID8480024834270,8480000000000,c7822fc2-276d-424b-8e77-a0f85e1bb1be,Brick,12.5,25,LECHE ALTEZA DESNATA LITRO,0,0,2021-10-15,2021-10-15,2021-10-15,null,1
ID8480024833365,8480000000000,c7822fc2-276d-424b-8e77-a0f85e1bb1be,Brick,12.5,25,LECHE ALTEZA DESNATA LITRO,0,0,2021-10-15,2021-10-15,2021-10-15,null,1
ID8480024834393,8480000000000,c7822fc2-276d-424b-8e77-a0f85e1bb1be,Brick,12.5,25,LECHE ALTEZA DESNATA LITRO,0,0,2021-10-15,2021-10-15,2021-10-15,null,1
ID8480024831132,8480000000000,c7822fc2-276d-424b-8e77-a0f85e1bb1be,Brick,12.5,25,LECHE ALTEZA DESNATA LITRO,0,0,2021-10-15,2021-10-15,2021-10-15,null,1
ID8480024831101,8480000000000,c7822fc2-276d-424b-8e77-a0f85e1bb1be,Brick,12.5,25,LECHE ALTEZA DESNATA LITRO,0,0,2021-10-15,2021-10-15,2021-10-15,null,1
ID8410297114342,8410000000000,c7822fc2-276d-424b-8e77-a0f85e1bb1be,Brick,12.5,25,LECHE ENTERA ASTURIANA 6X200 ML,0,0,2021-10-15,2021-10-15,2021-10-15,null,1
ID8410297914348,8410000000000,c7822fc2-276d-424b-8e77-a0f85e1bb1be,Brick,12.5,25,LECHE ENTERA ASTURIANA 6X200 ML,0,0,2021-10-15,2021-10-15,2021-10-15,null,1
ID8411485010108,8410000000000,c7822fc2-276d-424b-8e77-a0f85e1bb1be,Brick,12.5,25,LECHE CAMPESINA ENTERA LITRO,0,0,2021-10-15,2021-10-15,2021-10-15,null,1
ID8411357000117,8410000000000,c7822fc2-276d-424b-8e77-a0f85e1bb1be,Brick,12.5,25,LECHE CAMPESINA ENTERA LITRO,0,0,2021-10-15,2021-10-15,2021-10-15,null,1
ID18411434610106,18400000000000,c7822fc2-276d-424b-8e77-a0f85e1bb1be,Brick,12.5,25,LECHE CAMPESINA ENTERA LITRO,0,0,2021-10-15,2021-10-15,2021-10-15,null,1
ID8411434610109,8410000000000,c7822fc2-276d-424b-8e77-a0f85e1bb1be,Brick,12.5,25,LECHE CAMPESINA ENTERA LITRO,0,0,2021-10-15,2021-10-15,2021-10-15,null,1
ID8411485010101,8410000000000,c7822fc2-276d-424b-8e77-a0f85e1bb1be,Brick,12.5,25,LECHE CAMPESINA ENTERA LITRO,0,0,2021-10-15,2021-10-15,2021-10-15,null,1
ID8411485020107,8410000000000,c7822fc2-276d-424b-8e77-a0f85e1bb1be,Brick,12.5,25,LECHE CAMPESINA DESNATA LITRO,0,0,2021-10-15,2021-10-15,2021-10-15,null,1
ID8411434620108,8410000000000,c7822fc2-276d-424b-8e77-a0f85e1bb1be,Brick,12.5,25,LECHE CAMPESINA DESNATA LITRO,0,0,2021-10-15,2021-10-15,2021-10-15,null,1
ID8411485020100,8410000000000,c7822fc2-276d-424b-8e77-a0f85e1bb1be,Brick,12.5,25,LECHE CAMPESINA DESNATA LITRO,0,0,2021-10-15,2021-10-15,2021-10-15,null,1
ID1841143462015,1840000000000,c7822fc2-276d-424b-8e77-a0f85e1bb1be,Brick,12.5,25,LECHE CAMPESINA DESNATA LITRO,0,0,2021-10-15,2021-10-15,2021-10-15,null,1
ID8411357000162,8410000000000,c7822fc2-276d-424b-8e77-a0f85e1bb1be,Brick,12.5,25,LECHE CAMPESINA DESNATA LITRO,0,0,2021-10-15,2021-10-15,2021-10-15,null,1
ID8411485050107,8410000000000,c7822fc2-276d-424b-8e77-a0f85e1bb1be,Brick,12.5,25,LECHE CAMPESINA SEMI LITRO,0,0,2021-10-15,2021-10-15,2021-10-15,null,1
ID18411143465102,18400000000000,c7822fc2-276d-424b-8e77-a0f85e1bb1be,Brick,12.5,25,LECHE CAMPESINA SEMI LITRO,0,0,2021-10-15,2021-10-15,2021-10-15,null,1
ID8411485050104,8410000000000,c7822fc2-276d-424b-8e77-a0f85e1bb1be,Brick,12.5,25,LECHE CAMPESINA SEMI LITRO,0,0,2021-10-15,2021-10-15,2021-10-15,null,1
ID8411357000124,8410000000000,c7822fc2-276d-424b-8e77-a0f85e1bb1be,Brick,12.5,25,LECHE CAMPESINA SEMI LITRO,0,0,2021-10-15,2021-10-15,2021-10-15,null,1
ID8411434650105,8410000000000,c7822fc2-276d-424b-8e77-a0f85e1bb1be,Brick,12.5,25,LECHE CAMPESINA SEMI LITRO,0,0,2021-10-15,2021-10-15,2021-10-15,null,1
ID8411434011033,8410000000000,c7822fc2-276d-424b-8e77-a0f85e1bb1be,Brick,12.5,25,LECHE GRANJA ENTERA LITRO,0,0,2021-10-15,2021-10-15,2021-10-15,null,1
ID8411434111033,8410000000000,c7822fc2-276d-424b-8e77-a0f85e1bb1be,Brick,12.5,25,LECHE GRANJA ENTERA LITRO,0,0,2021-10-15,2021-10-15,2021-10-15,null,1
ID8411434011036,8410000000000,c7822fc2-276d-424b-8e77-a0f85e1bb1be,Brick,12.5,25,LECHE GRANJA ENTERA LITRO,0,0,2021-10-15,2021-10-15,2021-10-15,null,1
ID8410128010096,8410000000000,c7822fc2-276d-424b-8e77-a0f85e1bb1be,Brick,12.5,25,LECHE PASCUAL ENTERA LITRO,0,0,2021-10-15,2021-10-15,2021-10-15,null,1
ID8410128000301,8410000000000,c7822fc2-276d-424b-8e77-a0f85e1bb1be,Brick,12.5,25,LECHE PASCUAL ENTERA LITRO,0,0,2021-10-15,2021-10-15,2021-10-15,null,1
ID8410128000011,8410000000000,c7822fc2-276d-424b-8e77-a0f85e1bb1be,Brick,12.5,25,LECHE PASCUAL ENTERA LITRO,0,0,2021-10-15,2021-10-15,2021-10-15,null,1
ID8410128000325,8410000000000,c7822fc2-276d-424b-8e77-a0f85e1bb1be,Brick,12.5,25,LECHE PASCUAL SEMI LITRO,0,0,2021-10-15,2021-10-15,2021-10-15,null,1
ID8410128010119,8410000000000,c7822fc2-276d-424b-8e77-a0f85e1bb1be,Brick,12.5,25,LECHE PASCUAL SEMI LITRO,0,0,2021-10-15,2021-10-15,2021-10-15,null,1
ID8410128000066,8410000000000,c7822fc2-276d-424b-8e77-a0f85e1bb1be,Brick,12.5,25,LECHE PASCUAL SEMI LITRO,0,0,2021-10-15,2021-10-15,2021-10-15,null,1
ID8410128000318,8410000000000,c7822fc2-276d-424b-8e77-a0f85e1bb1be,Brick,12.5,25,LECHE PASCUAL DESNATA LITRO,0,0,2021-10-15,2021-10-15,2021-10-15,null,1
ID8410128000028,8410000000000,c7822fc2-276d-424b-8e77-a0f85e1bb1be,Brick,12.5,25,LECHE PASCUAL DESNATA LITRO,0,0,2021-10-15,2021-10-15,2021-10-15,null,1
ID8410128010225,8410000000000,c7822fc2-276d-424b-8e77-a0f85e1bb1be,Brick,12.5,25,LECHE PASCUAL DESNATA LITRO,0,0,2021-10-15,2021-10-15,2021-10-15,null,1
ID8410128000319,8410000000000,c7822fc2-276d-424b-8e77-a0f85e1bb1be,Brick,12.5,25,LECHE PASCUAL DESNATA LITRO,0,0,2021-10-15,2021-10-15,2021-10-15,null,1
ID8437000809098,8440000000000,c7822fc2-276d-424b-8e77-a0f85e1bb1be,Brick,12.5,25,LECHE PASCUAL ENTERA MINI BRICK 6X200ML,0,0,2021-10-15,2021-10-15,2021-10-15,null,1
ID8437000809104,8440000000000,c7822fc2-276d-424b-8e77-a0f85e1bb1be,Brick,12.5,25,LECHE PASCUAL ENTERA MINI BRICK 6X200ML,0,0,2021-10-15,2021-10-15,2021-10-15,null,1
ID8410128019198,8410000000000,c7822fc2-276d-424b-8e77-a0f85e1bb1be,Brick,12.5,25,LECHE PASCUAL ENTERA MINI BRICK 6X200ML,0,0,2021-10-15,2021-10-15,2021-10-15,null,1
ID0000000028340,28340,c7822fc2-276d-424b-8e77-a0f85e1bb1be,Brick,12.5,25,LECHE PASCUAL ENTERA MINI BRICK 6X200ML,0,0,2021-10-15,2021-10-15,2021-10-15,null,1
ID8410297110382,8410000000000,c7822fc2-276d-424b-8e77-a0f85e1bb1be,Botella,12.5,25,LECHE ASTURIANA  ENTERA 1/500 L,0,0,2021-10-15,2021-10-15,2021-10-15,null,1
ID8410297010200,8410000000000,c7822fc2-276d-424b-8e77-a0f85e1bb1be,Botella,12.5,25,LECHE ASTURIANA  ENTERA 1/500 L,0,0,2021-10-15,2021-10-15,2021-10-15,null,1
ID8410297110405,8410000000000,c7822fc2-276d-424b-8e77-a0f85e1bb1be,Botella,12.5,25,LECHE ASTURIANA  DESNATADA 1/500 L,0,0,2021-10-15,2021-10-15,2021-10-15,null,1
ID8410297011108,8410000000000,c7822fc2-276d-424b-8e77-a0f85e1bb1be,Botella,12.5,25,LECHE ASTURIANA  DESNATADA 1/500 L,0,0,2021-10-15,2021-10-15,2021-10-15,null,1
ID8410197011108,8410000000000,c7822fc2-276d-424b-8e77-a0f85e1bb1be,Botella,12.5,25,LECHE ASTURIANA  DESNATADA 1/500 L,0,0,2021-10-15,2021-10-15,2021-10-15,null,1
ID8410297111150,8410000000000,c7822fc2-276d-424b-8e77-a0f85e1bb1be,Botella,12.5,25,LECHE ASTURIANA  SEMI  1/500 L,0,0,2021-10-15,2021-10-15,2021-10-15,null,1
ID8410297110399,8410000000000,c7822fc2-276d-424b-8e77-a0f85e1bb1be,Botella,12.5,25,LECHE ASTURIANA  SEMI  1/500 L,0,0,2021-10-15,2021-10-15,2021-10-15,null,1
ID8410197111150,8410000000000,c7822fc2-276d-424b-8e77-a0f85e1bb1be,Botella,12.5,25,LECHE ASTURIANA  SEMI  1/500 L,0,0,2021-10-15,2021-10-15,2021-10-15,null,1
ID8410297114793,8410000000000,c7822fc2-276d-424b-8e77-a0f85e1bb1be,Brick,12.5,25,"LECHE ASTURIANA 0,0% LITRO",0,0,2021-10-15,2021-10-15,2021-10-15,null,1
